source,target
Scenario_Setting,Viewpoint_Hijacking
Scenario_Setting,Chinese_Limited
Template_Length,Operational_Encryption
Positive_Character,Arrangement_Operation
Number_of_Background_Info,Hijacking_Type
Language_Type,Viewpoint_Hijacking
False_Timeline,Language_Type
Separator,Character_Setting
Answer_Neutral,Number_of_Background_Info
Answer_Refusal,Answer_Neutral
Answer_Refusal,Answer_Guidance
Chinese_Limited,Specific_Opening
Answer_Warning,Encryption_Type
Contains_Opinions,Background_Task
Character_Disorder,Literary_Creation
Literary_Creation,Character_Disorder
Answer_Warning,Contains_Opinions
Answer_Neutral,Num_Languages
Answer_Harmfulness,Knowledge_Hijacking
Code_Operation,Viewpoint_Hijacking
Arrangement_Operation,Background_Task
Contains_Opinions,Scenario_Setting
Answer_Refusal,Language_Type
Literary_Creation,Setting_Type
Answer_Harmfulness,Answer_Refusal
Answer_Harmfulness,Extended_Context
Operational_Encryption,Background_Task
Literary_Creation,Extended_Context
Num_Languages,Code_Operation
Operational_Encryption,Direct_Rephrasing
Answer_Neutral,Negative_Character
Answer_Guidance,Arrangement_Operation
Specific_Opening,Chinese_Limited
Arrangement_Operation,Scenario_Setting
Character_Setting,Language_Type
Number_of_Task_Steps,Character_Disorder
Extended_Context,Arrangement_Operation
Negative_Character,Character_Setting
Direct_Rephrasing,Knowledge_Hijacking
Opposite_Response,Hijacking_Type
Specific_Opening,Incorrect_Knowledge
Operational_Encryption,Scenario_Setting
Background_Task,Arrangement_Operation
Negative_Character,Code_Operation
Number_of_Background_Info,Character_Disorder
Separator,Hijacking_Type
Request_Tone,Specific_Opening
Answer_Warning,Positive_Character
Direct_Rephrasing,Extended_Context
Answer_Warning,Task_Difficulty
Number_of_Task_Steps,Setting_Type
Character_Encryption,Irrelevant_Encryption
False_Timeline,Arrangement_Operation
Language_Type,Literary_Creation
Positive_Character,Operational_Encryption
Template_Length,Character_Setting
Literary_Creation,False_Timeline
Number_of_Background_Info,Setting_Type
Viewpoint_Hijacking,Encryption_Type
Template_Length,Code_Operation
Number_of_Background_Info,Extended_Context
Command_Tone,Negative_Character
Answer_Harmfulness,Background_Task
Answer_Guidance,Opposite_Response
Answer_Harmfulness,Direct_Rephrasing
Encryption_Type,Viewpoint_Hijacking
Chinese_Limited,Irrelevant_Encryption
Code_Operation,Literary_Creation
Extended_Context,Opposite_Response
Answer_Guidance,Command_Tone
Answer_Refusal,Arrangement_Operation
Answer_Neutral,Command_Tone
Answer_Warning,Viewpoint_Hijacking
Lexical_Richness,Specific_Opening
Background_Task,Opposite_Response
Answer_Harmfulness,Scenario_Setting
Operational_Encryption,Encryption_Type
Character_Disorder,Negative_Character
Character_Disorder,Irrelevant_Encryption
Negative_Character,Hijacking_Type
Number_of_Task_Steps,False_Timeline
False_Timeline,Opposite_Response
Direct_Rephrasing,Background_Task
Answer_Guidance,Operational_Encryption
Knowledge_Hijacking,Negative_Character
Extended_Context,Operational_Encryption
Opposite_Response,Knowledge_Hijacking
Contains_Questions,Negative_Character
Answer_Harmfulness,Template_Length
Background_Task,Operational_Encryption
Separator,Knowledge_Hijacking
Template_Length,Hijacking_Type
Incorrect_Knowledge,Viewpoint_Hijacking
Opposite_Response,Extended_Context
Incorrect_Knowledge,Chinese_Limited
Direct_Rephrasing,Scenario_Setting
Task_Difficulty,Encrypted_Conversation
Specific_Opening,Language_Type
Contains_Opinions,Positive_Character
False_Timeline,Operational_Encryption
Separator,Extended_Context
Answer_Refusal,Opposite_Response
Num_Languages,Character_Disorder
Positive_Character,Character_Setting
Request_Tone,Irrelevant_Encryption
Arrangement_Operation,Positive_Character
Scenario_Setting,Negative_Character
Answer_Harmfulness,Encryption_Type
Answer_Refusal,Command_Tone
Positive_Character,Code_Operation
Operational_Encryption,Positive_Character
Irrelevant_Encryption,Character_Encryption
Language_Type,Irrelevant_Encryption
Num_Languages,Setting_Type
Literary_Creation,Incorrect_Knowledge
Answer_Refusal,Operational_Encryption
Answer_Neutral,Direct_Rephrasing
Answer_Warning,Literary_Creation
Negative_Character,Knowledge_Hijacking
Direct_Rephrasing,Encryption_Type
Chinese_Limited,Character_Encryption
Irrelevant_Encryption,Separator
Negative_Character,Setting_Type
Opposite_Response,Background_Task
Code_Operation,Negative_Character
Character_Setting,Operational_Encryption
Opposite_Response,Direct_Rephrasing
Hijacking_Type,Language_Type
Negative_Character,Extended_Context
Template_Length,Character_Disorder
Lexical_Richness,Irrelevant_Encryption
Answer_Guidance,Character_Setting
Separator,Background_Task
Extended_Context,Character_Setting
Operational_Encryption,Viewpoint_Hijacking
Answer_Guidance,Code_Operation
Opposite_Response,Scenario_Setting
Number_of_Task_Steps,Incorrect_Knowledge
Answer_Neutral,Code_Operation
Specific_Opening,Arrangement_Operation
Extended_Context,Code_Operation
Background_Task,Character_Setting
Positive_Character,Hijacking_Type
Num_Languages,False_Timeline
Chinese_Limited,Separator
Encrypted_Conversation,Character_Disorder
Template_Length,Setting_Type
Separator,Scenario_Setting
Answer_Harmfulness,Positive_Character
Template_Length,Extended_Context
Background_Task,Code_Operation
False_Timeline,Character_Setting
Task_Difficulty,False_Timeline
Answer_Warning,Number_of_Background_Info
Character_Disorder,Separator
Answer_Warning,Num_Languages
Direct_Rephrasing,Positive_Character
Setting_Type,Code_Operation
Request_Tone,Character_Encryption
Viewpoint_Hijacking,Literary_Creation
Negative_Character,Background_Task
Command_Tone,Code_Operation
Answer_Refusal,Character_Setting
Contains_Opinions,Specific_Opening
Character_Encryption,Knowledge_Hijacking
Specific_Opening,Opposite_Response
Encryption_Type,Negative_Character
Opposite_Response,Encryption_Type
Literary_Creation,Language_Type
Language_Type,Character_Encryption
Answer_Guidance,Hijacking_Type
Extended_Context,Hijacking_Type
Answer_Refusal,Code_Operation
Answer_Neutral,Number_of_Task_Steps
Hijacking_Type,Arrangement_Operation
Negative_Character,Scenario_Setting
Answer_Warning,Negative_Character
Arrangement_Operation,Specific_Opening
Positive_Character,Character_Disorder
Background_Task,Hijacking_Type
Request_Tone,Separator
Operational_Encryption,Literary_Creation
Template_Length,Background_Task
Encrypted_Conversation,False_Timeline
Character_Setting,Code_Operation
False_Timeline,Hijacking_Type
Specific_Opening,Operational_Encryption
Chinese_Limited,Knowledge_Hijacking
Knowledge_Hijacking,Code_Operation
Language_Type,Separator
Lexical_Richness,Character_Encryption
Positive_Character,Setting_Type
Number_of_Task_Steps,Language_Type
Contains_Questions,Code_Operation
Positive_Character,Extended_Context
Incorrect_Knowledge,Negative_Character
Task_Difficulty,Chinese_Limited
Num_Languages,Incorrect_Knowledge
Hijacking_Type,Opposite_Response
Lexical_Richness,Separator
Answer_Refusal,Hijacking_Type
Opposite_Response,Positive_Character
Answer_Neutral,Character_Disorder
Task_Difficulty,Incorrect_Knowledge
Answer_Refusal,Number_of_Task_Steps
Irrelevant_Encryption,Encrypted_Conversation
Scenario_Setting,Code_Operation
Extended_Context,Character_Disorder
Answer_Harmfulness,Literary_Creation
Character_Encryption,Direct_Rephrasing
Separator,Positive_Character
Literary_Creation,Arrangement_Operation
Answer_Guidance,Knowledge_Hijacking
Character_Setting,Hijacking_Type
Answer_Harmfulness,Specific_Opening
Literary_Creation,Specific_Opening
Answer_Neutral,Setting_Type
Viewpoint_Hijacking,Negative_Character
Character_Encryption,Scenario_Setting
Extended_Context,Setting_Type
Request_Tone,Knowledge_Hijacking
Answer_Guidance,Extended_Context
Background_Task,Knowledge_Hijacking
Contains_Opinions,Irrelevant_Encryption
Answer_Guidance,Answer_Refusal
Chinese_Limited,Direct_Rephrasing
Direct_Rephrasing,Literary_Creation
False_Timeline,Knowledge_Hijacking
Setting_Type,Character_Disorder
Background_Task,Extended_Context
Command_Tone,Character_Disorder
Character_Disorder,Encrypted_Conversation
Direct_Rephrasing,Specific_Opening
Arrangement_Operation,Irrelevant_Encryption
Specific_Opening,Character_Setting
Number_of_Task_Steps,Arrangement_Operation
Encrypted_Conversation,Chinese_Limited
Operational_Encryption,Negative_Character
False_Timeline,Extended_Context
Chinese_Limited,Scenario_Setting
Specific_Opening,Code_Operation
Number_of_Background_Info,Arrangement_Operation
Literary_Creation,Opposite_Response
Negative_Character,Positive_Character
Encrypted_Conversation,Incorrect_Knowledge
Answer_Refusal,Character_Disorder
Command_Tone,Setting_Type
Setting_Type,Extended_Context
Number_of_Background_Info,Specific_Opening
Lexical_Richness,Knowledge_Hijacking
Answer_Neutral,False_Timeline
Answer_Warning,Separator
Character_Setting,Character_Disorder
Answer_Harmfulness,Num_Languages
Character_Encryption,Encryption_Type
Answer_Refusal,Setting_Type
Num_Languages,Language_Type
Knowledge_Hijacking,Character_Disorder
Answer_Guidance,Background_Task
Answer_Refusal,Extended_Context
Extended_Context,Background_Task
Literary_Creation,Operational_Encryption
Task_Difficulty,Language_Type
Contains_Questions,Character_Disorder
Character_Setting,Setting_Type
Request_Tone,Direct_Rephrasing
Number_of_Task_Steps,Opposite_Response
Knowledge_Hijacking,Setting_Type
Answer_Guidance,Scenario_Setting
Character_Setting,Extended_Context
Language_Type,Encrypted_Conversation
Hijacking_Type,Character_Setting
Chinese_Limited,Encryption_Type
Knowledge_Hijacking,Extended_Context
False_Timeline,Background_Task
Setting_Type,False_Timeline
Specific_Opening,Hijacking_Type
Command_Tone,False_Timeline
False_Timeline,Direct_Rephrasing
Opposite_Response,Literary_Creation
Contains_Questions,Setting_Type
Number_of_Background_Info,Opposite_Response
Background_Task,Scenario_Setting
Request_Tone,Scenario_Setting
Scenario_Setting,Character_Disorder
Opposite_Response,Specific_Opening
Number_of_Task_Steps,Operational_Encryption
Separator,Literary_Creation
Contains_Opinions,Character_Encryption
False_Timeline,Scenario_Setting
Answer_Guidance,Template_Length
Code_Operation,Encrypted_Conversation
Separator,Specific_Opening
Character_Disorder,False_Timeline
Character_Encryption,Positive_Character
Scenario_Setting,Setting_Type
Direct_Rephrasing,Irrelevant_Encryption
Lexical_Richness,Direct_Rephrasing
Answer_Refusal,Background_Task
Arrangement_Operation,Character_Encryption
Hijacking_Type,Character_Encryption
Encrypted_Conversation,Language_Type
Num_Languages,Arrangement_Operation
Incorrect_Knowledge,Code_Operation
Contains_Opinions,Separator
Lexical_Richness,Scenario_Setting
Contains_Questions,False_Timeline
Chinese_Limited,Positive_Character
Request_Tone,Encryption_Type
Answer_Neutral,Incorrect_Knowledge
Arrangement_Operation,Separator
Literary_Creation,Character_Setting
Specific_Opening,Character_Disorder
Character_Encryption,Viewpoint_Hijacking
Answer_Guidance,Request_Tone
Irrelevant_Encryption,Viewpoint_Hijacking
False_Timeline,Encryption_Type
Irrelevant_Encryption,Chinese_Limited
Negative_Character,Specific_Opening
Scenario_Setting,False_Timeline
Answer_Harmfulness,Contains_Questions
Answer_Neutral,Request_Tone
Answer_Refusal,Template_Length
Specific_Opening,Setting_Type
Specific_Opening,Extended_Context
Num_Languages,Opposite_Response
Answer_Harmfulness,Character_Encryption
Setting_Type,Incorrect_Knowledge
Chinese_Limited,Viewpoint_Hijacking
Template_Length,Specific_Opening
Lexical_Richness,Encryption_Type
Number_of_Task_Steps,Character_Setting
Command_Tone,Incorrect_Knowledge
Answer_Warning,Encrypted_Conversation
Answer_Guidance,Positive_Character
Opposite_Response,Irrelevant_Encryption
Number_of_Background_Info,Character_Setting
Code_Operation,False_Timeline
Encrypted_Conversation,Arrangement_Operation
Character_Disorder,Chinese_Limited
Separator,Irrelevant_Encryption
Request_Tone,Positive_Character
Answer_Neutral,Answer_Guidance
Background_Task,Positive_Character
Num_Languages,Operational_Encryption
Answer_Harmfulness,Separator
Literary_Creation,Hijacking_Type
Character_Disorder,Incorrect_Knowledge
Direct_Rephrasing,Character_Encryption
Answer_Refusal,Request_Tone
Task_Difficulty,Operational_Encryption
False_Timeline,Positive_Character
Arrangement_Operation,Knowledge_Hijacking
Encryption_Type,Setting_Type
Character_Encryption,Literary_Creation
Specific_Opening,Background_Task
Answer_Neutral,Language_Type
Number_of_Background_Info,Character_Encryption
Contains_Questions,Incorrect_Knowledge
Answer_Warning,Answer_Harmfulness
Direct_Rephrasing,Separator
Request_Tone,Viewpoint_Hijacking
Lexical_Richness,Positive_Character
Incorrect_Knowledge,Character_Disorder
Encrypted_Conversation,Opposite_Response
Number_of_Task_Steps,Hijacking_Type
Negative_Character,Irrelevant_Encryption
Chinese_Limited,Literary_Creation
Language_Type,Chinese_Limited
Scenario_Setting,Incorrect_Knowledge
Viewpoint_Hijacking,Encrypted_Conversation
Incorrect_Knowledge,Setting_Type
Positive_Character,Specific_Opening
Contains_Opinions,Encrypted_Conversation
Encryption_Type,False_Timeline
Setting_Type,Language_Type
Contains_Opinions,Direct_Rephrasing
Encrypted_Conversation,Operational_Encryption
Command_Tone,Language_Type
Template_Length,Irrelevant_Encryption
Answer_Warning,False_Timeline
Literary_Creation,Knowledge_Hijacking
Lexical_Richness,Viewpoint_Hijacking
Code_Operation,Chinese_Limited
Opposite_Response,Character_Encryption
Viewpoint_Hijacking,Character_Disorder
Hijacking_Type,Background_Task
Arrangement_Operation,Direct_Rephrasing
Num_Languages,Character_Setting
Operational_Encryption,Encrypted_Conversation
Code_Operation,Incorrect_Knowledge
Separator,Character_Encryption
Character_Disorder,Language_Type
Positive_Character,Opposite_Response
Answer_Neutral,Arrangement_Operation
Hijacking_Type,Scenario_Setting
Task_Difficulty,Code_Operation
Incorrect_Knowledge,False_Timeline
Knowledge_Hijacking,Language_Type
Answer_Guidance,Specific_Opening
Opposite_Response,Separator
Request_Tone,Literary_Creation
Extended_Context,Specific_Opening
Number_of_Task_Steps,Knowledge_Hijacking
Answer_Harmfulness,Lexical_Richness
Contains_Questions,Language_Type
Character_Encryption,Negative_Character
Background_Task,Specific_Opening
Irrelevant_Encryption,Negative_Character
False_Timeline,Literary_Creation
Number_of_Background_Info,Knowledge_Hijacking
Number_of_Task_Steps,Extended_Context
False_Timeline,Specific_Opening
Setting_Type,Arrangement_Operation
Contains_Opinions,Encryption_Type
Answer_Harmfulness,Encrypted_Conversation
Command_Tone,Arrangement_Operation
Negative_Character,Character_Encryption
Scenario_Setting,Language_Type
Setting_Type,Specific_Opening
Viewpoint_Hijacking,False_Timeline
Literary_Creation,Background_Task
Chinese_Limited,Negative_Character
Num_Languages,Hijacking_Type
Answer_Neutral,Opposite_Response
Positive_Character,Irrelevant_Encryption
Encrypted_Conversation,Character_Setting
Arrangement_Operation,Encryption_Type
Literary_Creation,Direct_Rephrasing
Hijacking_Type,Encryption_Type
Task_Difficulty,Hijacking_Type
Lexical_Richness,Literary_Creation
Answer_Warning,Chinese_Limited
Encrypted_Conversation,Code_Operation
Encryption_Type,Incorrect_Knowledge
Answer_Refusal,Specific_Opening
Literary_Creation,Scenario_Setting
Template_Length,Character_Encryption
Direct_Rephrasing,Encrypted_Conversation
Negative_Character,Separator
Answer_Warning,Incorrect_Knowledge
Character_Setting,Arrangement_Operation
Answer_Neutral,Operational_Encryption
Operational_Encryption,False_Timeline
Knowledge_Hijacking,Arrangement_Operation
Code_Operation,Language_Type
Character_Setting,Specific_Opening
Number_of_Task_Steps,Background_Task
Knowledge_Hijacking,Specific_Opening
Number_of_Task_Steps,Direct_Rephrasing
Contains_Questions,Arrangement_Operation
Command_Tone,Opposite_Response
Answer_Guidance,Answer_Warning
Answer_Neutral,Answer_Warning
Number_of_Background_Info,Background_Task
Template_Length,Separator
Number_of_Background_Info,Direct_Rephrasing
Answer_Guidance,Irrelevant_Encryption
Number_of_Task_Steps,Scenario_Setting
Extended_Context,Irrelevant_Encryption
Request_Tone,Negative_Character
Hijacking_Type,Positive_Character
Background_Task,Irrelevant_Encryption
Encrypted_Conversation,Hijacking_Type
Setting_Type,Operational_Encryption
Scenario_Setting,Arrangement_Operation
Task_Difficulty,Character_Disorder
Command_Tone,Operational_Encryption
Literary_Creation,Encryption_Type
Num_Languages,Knowledge_Hijacking
Number_of_Background_Info,Scenario_Setting
Language_Type,Negative_Character
Answer_Harmfulness,Contains_Opinions
False_Timeline,Irrelevant_Encryption
Knowledge_Hijacking,Opposite_Response
Answer_Warning,Answer_Neutral
Answer_Warning,Answer_Guidance
Num_Languages,Extended_Context
Viewpoint_Hijacking,Chinese_Limited
Contains_Opinions,Viewpoint_Hijacking
Task_Difficulty,Setting_Type
Contains_Opinions,Chinese_Limited
Contains_Questions,Opposite_Response
Character_Disorder,Operational_Encryption
Task_Difficulty,Extended_Context
Opposite_Response,Encrypted_Conversation
Viewpoint_Hijacking,Incorrect_Knowledge
Positive_Character,Character_Encryption
Answer_Refusal,Answer_Warning
Lexical_Richness,Negative_Character
Code_Operation,Arrangement_Operation
Arrangement_Operation,Viewpoint_Hijacking
Knowledge_Hijacking,Operational_Encryption
Separator,Encrypted_Conversation
Number_of_Task_Steps,Encryption_Type
Answer_Refusal,Irrelevant_Encryption
Answer_Neutral,Character_Setting
Answer_Warning,Language_Type
Separator,Direct_Rephrasing
Scenario_Setting,Opposite_Response
Operational_Encryption,Chinese_Limited
Contains_Questions,Operational_Encryption
Number_of_Background_Info,Encryption_Type
Template_Length,Knowledge_Hijacking
Answer_Guidance,Contains_Questions
Answer_Harmfulness,Task_Difficulty
Positive_Character,Separator
Operational_Encryption,Incorrect_Knowledge
Literary_Creation,Positive_Character
Encrypted_Conversation,Knowledge_Hijacking
Num_Languages,Background_Task
Scenario_Setting,Operational_Encryption
Irrelevant_Encryption,Code_Operation
Incorrect_Knowledge,Language_Type
Encrypted_Conversation,Setting_Type
Num_Languages,Direct_Rephrasing
Answer_Guidance,Character_Encryption
Code_Operation,Opposite_Response
Extended_Context,Character_Encryption
Command_Tone,Character_Setting
Encrypted_Conversation,Extended_Context
Negative_Character,Encrypted_Conversation
Num_Languages,Scenario_Setting
Contains_Opinions,Literary_Creation
Background_Task,Character_Encryption
Negative_Character,Direct_Rephrasing
Number_of_Task_Steps,Positive_Character
Answer_Harmfulness,Viewpoint_Hijacking
Answer_Harmfulness,Chinese_Limited
Literary_Creation,Viewpoint_Hijacking
Answer_Neutral,Hijacking_Type
False_Timeline,Character_Encryption
Answer_Guidance,Separator
Number_of_Background_Info,Positive_Character
Arrangement_Operation,Literary_Creation
Code_Operation,Operational_Encryption
Extended_Context,Separator
Hijacking_Type,Literary_Creation
Answer_Refusal,Contains_Questions
Separator,Encryption_Type
Character_Disorder,Code_Operation
Viewpoint_Hijacking,Language_Type
Knowledge_Hijacking,Character_Setting
Background_Task,Separator
Template_Length,Direct_Rephrasing
Direct_Rephrasing,Viewpoint_Hijacking
Positive_Character,Knowledge_Hijacking
Direct_Rephrasing,Chinese_Limited
Contains_Questions,Character_Setting
False_Timeline,Separator
Template_Length,Scenario_Setting
Answer_Refusal,Character_Encryption
Encrypted_Conversation,Background_Task
Setting_Type,Hijacking_Type
Num_Languages,Encryption_Type
Command_Tone,Hijacking_Type
Operational_Encryption,Language_Type
Incorrect_Knowledge,Arrangement_Operation
Number_of_Background_Info,Viewpoint_Hijacking
Specific_Opening,Irrelevant_Encryption
Encryption_Type,Opposite_Response
Character_Setting,Character_Encryption
Scenario_Setting,Character_Setting
Encrypted_Conversation,Scenario_Setting
Answer_Refusal,Separator
Negative_Character,Encryption_Type
Character_Disorder,Hijacking_Type
Answer_Harmfulness,Answer_Guidance
Answer_Warning,Command_Tone
Language_Type,Code_Operation
Answer_Neutral,Knowledge_Hijacking
Extended_Context,Knowledge_Hijacking
Knowledge_Hijacking,Hijacking_Type
Viewpoint_Hijacking,Arrangement_Operation
Irrelevant_Encryption,Character_Disorder
Template_Length,Encryption_Type
Code_Operation,Character_Setting
Chinese_Limited,Encrypted_Conversation
Contains_Questions,Hijacking_Type
Contains_Opinions,Negative_Character
Incorrect_Knowledge,Opposite_Response
Positive_Character,Background_Task
Answer_Warning,Operational_Encryption
Answer_Neutral,Extended_Context
Positive_Character,Direct_Rephrasing
Num_Languages,Positive_Character
Opposite_Response,Viewpoint_Hijacking
Opposite_Response,Chinese_Limited
Arrangement_Operation,Negative_Character
Hijacking_Type,Negative_Character
Irrelevant_Encryption,Setting_Type
Hijacking_Type,Irrelevant_Encryption
Number_of_Task_Steps,Literary_Creation
Separator,Viewpoint_Hijacking
Setting_Type,Knowledge_Hijacking
Separator,Chinese_Limited
Positive_Character,Scenario_Setting
Number_of_Task_Steps,Specific_Opening
Answer_Guidance,Lexical_Richness
Scenario_Setting,Hijacking_Type
Command_Tone,Knowledge_Hijacking
Number_of_Background_Info,Literary_Creation
Incorrect_Knowledge,Operational_Encryption
Answer_Harmfulness,Number_of_Background_Info
Command_Tone,Extended_Context
Answer_Refusal,Knowledge_Hijacking
Viewpoint_Hijacking,Opposite_Response
Answer_Guidance,Encrypted_Conversation
Answer_Neutral,Background_Task
Template_Length,Positive_Character
Answer_Guidance,Direct_Rephrasing
Specific_Opening,Character_Encryption
Character_Disorder,Setting_Type
Character_Setting,Knowledge_Hijacking
Request_Tone,Encrypted_Conversation
Character_Encryption,False_Timeline
Extended_Context,Direct_Rephrasing
Irrelevant_Encryption,False_Timeline
Code_Operation,Hijacking_Type
Background_Task,Encrypted_Conversation
Character_Disorder,Extended_Context
Encryption_Type,Character_Setting
Background_Task,Direct_Rephrasing
Negative_Character,Viewpoint_Hijacking
Viewpoint_Hijacking,Operational_Encryption
Answer_Neutral,Scenario_Setting
False_Timeline,Encrypted_Conversation
Extended_Context,Scenario_Setting
Positive_Character,Encryption_Type
Encrypted_Conversation,Positive_Character
Contains_Questions,Knowledge_Hijacking
Answer_Harmfulness,Negative_Character
Literary_Creation,Irrelevant_Encryption
Answer_Refusal,Lexical_Richness
Specific_Opening,Separator
Chinese_Limited,False_Timeline
Contains_Questions,Extended_Context
Answer_Warning,Code_Operation
